Name: Microsoft Server Speech Text to Speech Voice (af-ZA, AdriNeural), ShortName: af-ZA-AdriNeural, Locale: af-ZA, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (af-ZA, WillemNeural), ShortName: af-ZA-WillemNeural, Locale: af-ZA, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (am-ET, MekdesNeural), ShortName: am-ET-MekdesNeural, Locale: am-ET, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (am-ET, AmehaNeural), ShortName: am-ET-AmehaNeural, Locale: am-ET, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-AE, FatimaNeural), ShortName: ar-AE-FatimaNeural, Locale: ar-AE, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-AE, HamdanNeural), ShortName: ar-AE-HamdanNeural, Locale: ar-AE, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-BH, LailaNeural), ShortName: ar-BH-LailaNeural, Locale: ar-BH, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-BH, AliNeural), ShortName: ar-BH-AliNeural, Locale: ar-BH, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-DZ, AminaNeural), ShortName: ar-DZ-AminaNeural, Locale: ar-DZ, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-DZ, IsmaelNeural), ShortName: ar-DZ-IsmaelNeural, Locale: ar-DZ, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-EG, SalmaNeural), ShortName: ar-EG-SalmaNeural, Locale: ar-EG, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-EG, ShakirNeural), ShortName: ar-EG-ShakirNeural, Locale: ar-EG, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-IQ, RanaNeural), ShortName: ar-IQ-RanaNeural, Locale: ar-IQ, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-IQ, BasselNeural), ShortName: ar-IQ-BasselNeural, Locale: ar-IQ, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-JO, SanaNeural), ShortName: ar-JO-SanaNeural, Locale: ar-JO, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-JO, TaimNeural), ShortName: ar-JO-TaimNeural, Locale: ar-JO, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-KW, NouraNeural), ShortName: ar-KW-NouraNeural, Locale: ar-KW, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-KW, FahedNeural), ShortName: ar-KW-FahedNeural, Locale: ar-KW, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-LB, LaylaNeural), ShortName: ar-LB-LaylaNeural, Locale: ar-LB, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-LB, RamiNeural), ShortName: ar-LB-RamiNeural, Locale: ar-LB, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-LY, ImanNeural), ShortName: ar-LY-ImanNeural, Locale: ar-LY, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-LY, OmarNeural), ShortName: ar-LY-OmarNeural, Locale: ar-LY, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-MA, MounaNeural), ShortName: ar-MA-MounaNeural, Locale: ar-MA, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-MA, JamalNeural), ShortName: ar-MA-JamalNeural, Locale: ar-MA, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-OM, AyshaNeural), ShortName: ar-OM-AyshaNeural, Locale: ar-OM, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-OM, AbdullahNeural), ShortName: ar-OM-AbdullahNeural, Locale: ar-OM, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-QA, AmalNeural), ShortName: ar-QA-AmalNeural, Locale: ar-QA, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-QA, MoazNeural), ShortName: ar-QA-MoazNeural, Locale: ar-QA, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-SA, ZariyahNeural), ShortName: ar-SA-ZariyahNeural, Locale: ar-SA, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-SA, HamedNeural), ShortName: ar-SA-HamedNeural, Locale: ar-SA, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-SY, AmanyNeural), ShortName: ar-SY-AmanyNeural, Locale: ar-SY, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-SY, LaithNeural), ShortName: ar-SY-LaithNeural, Locale: ar-SY, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-TN, ReemNeural), ShortName: ar-TN-ReemNeural, Locale: ar-TN, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-TN, HediNeural), ShortName: ar-TN-HediNeural, Locale: ar-TN, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ar-YE, MaryamNeural), ShortName: ar-YE-MaryamNeural, Locale: ar-YE, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (ar-YE, SalehNeural), ShortName: ar-YE-SalehNeural, Locale: ar-YE, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (as-IN, YashicaNeural), ShortName: as-IN-YashicaNeural, Locale: as-IN, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (as-IN, PriyomNeural), ShortName: as-IN-PriyomNeural, Locale: as-IN, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (az-AZ, BanuNeural), ShortName: az-AZ-BanuNeural, Locale: az-AZ, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (az-AZ, BabekNeural), ShortName: az-AZ-BabekNeural, Locale: az-AZ, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (bg-BG, KalinaNeural), ShortName: bg-BG-KalinaNeural, Locale: bg-BG, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (bg-BG, BorislavNeural), ShortName: bg-BG-BorislavNeural, Locale: bg-BG, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (bn-BD, NabanitaNeural), ShortName: bn-BD-NabanitaNeural, Locale: bn-BD, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (bn-BD, PradeepNeural), ShortName: bn-BD-PradeepNeural, Locale: bn-BD, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (bn-IN, TanishaaNeural), ShortName: bn-IN-TanishaaNeural, Locale: bn-IN, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (bn-IN, BashkarNeural), ShortName: bn-IN-BashkarNeural, Locale: bn-IN, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (bs-BA, VesnaNeural), ShortName: bs-BA-VesnaNeural, Locale: bs-BA, Gender: SynthesisVoiceGender.Female

Name: Microsoft Server Speech Text to Speech Voice (bs-BA, GoranNeural), ShortName: bs-BA-GoranNeural, Locale: bs-BA, Gender: SynthesisVoiceGender.Male

Name: Microsoft Server Speech Text to Speech Voice (ca-ES, JoanaNeural), ShortName: ca-ES-JoanaNeural, Locale: ca-ES, Gender: SynthesisVoiceGender.Female

